"key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_deg,delta_roll,roll_deg,yaw_deg,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet,g_is_quiet_sure,o_is_quiet_sure,g_is_quiet,o_is_quiet,roll_rate,pitch_rate,yaw_rate,eye_rate,"
"v20250113_wearDn33iot_Rapid,0,13.291000,1,1,2.4716,-1.4038,-7.0801,4.3335,0.1422,-0.1997,0.9727,0.0400,0.0100,0,0,-9.004,0,-4.004,0,13.000,4.736,5.000,-7.996,174.873,0,0,0,2.4716,2.4716,0.0000,1.000,0,3.3000,0,0.0137,-6.0547,1,1,1,1,0.181,-1.543,4.911,-0.180,"
"v20250113_wearDn33iot_Rapid,0,13.391000,1,1,2.4845,2.5635,-9.6436,4.0894,0.1913,-0.2098,0.9532,0.0400,0.0100,0,0,-9.214,0,-4.214,0,13.000,2.463,5.000,-7.786,175.486,0,0,0,2.4845,2.4845,0.0000,1.000,0,3.3000,0,-0.0121,-2.0676,1,1,1,1,1.412,-7.652,5.199,-0.047,"
"v20250113_wearDn33iot_Rapid,0,13.491000,1,1,2.5578,-1.2817,-9.6436,2.0142,0.2086,-0.2109,0.9478,0.0400,0.0100,0,0,-8.888,0,-3.888,0,13.000,0.745,5.000,-8.112,175.923,0,0,0,2.5578,2.5578,0.0000,1.000,0,3.3000,0,-0.0284,0.8335,1,1,1,1,0.541,-12.402,5.190,0.349,"
"v20250113_wearDn33iot_Rapid,0,13.591000,1,1,2.5070,-1.3428,-0.7935,6.5918,0.2189,-0.1993,0.9628,0.0400,0.0100,0,0,-9.096,0,-4.096,0,13.000,0.635,5.000,-7.904,176.481,0,0,0,2.5070,2.5070,0.0000,1.000,0,3.3000,0,-0.0240,-0.5532,1,1,1,1,0.184,-10.856,5.125,0.115,"
"v20250113_wearDn33iot_Rapid,0,13.691000,1,1,2.4861,-0.4883,-1.5259,0.4883,0.2216,-0.2168,0.9579,0.0400,0.0100,0,0,-8.886,0,-3.886,0,13.000,0.288,5.000,-8.114,176.581,0,0,0,2.4861,2.4861,0.0000,1.000,0,3.3000,0,-0.0101,-6.5995,1,1,1,1,0.040,-7.521,4.329,-0.029,"
"v20250113_wearDn33iot_Rapid,0,13.791000,1,1,2.4845,-0.4883,-2.7466,2.1362,0.2351,-0.1919,0.9630,0.0400,0.0100,0,0,-9.496,0,-4.496,0,13.000,-0.354,5.000,-7.504,176.681,0,0,0,2.4845,2.4845,0.0000,1.000,0,3.3000,0,-0.0010,-10.3638,1,1,1,1,0.944,-6.556,3.020,0.042,"
"v20250113_wearDn33iot_Rapid,0,13.891000,1,1,2.4788,1.5869,-1.0376,2.6245,0.1931,-0.2137,0.9458,0.0400,0.0100,0,0,-9.273,0,-4.273,0,13.000,0.625,5.000,-7.727,177.020,0,0,0,2.4788,2.4788,0.0000,1.000,0,3.3000,0,-0.0088,-9.8907,1,1,1,1,1.198,-3.049,2.734,-0.105,"
"v20250113_wearDn33iot_Rapid,0,13.991000,1,1,2.6013,0.4272,8.6670,2.6245,0.2197,-0.2125,0.9673,0.0400,0.0100,0,0,-9.271,0,-4.271,0,13.000,1.437,5.000,-7.729,177.078,0,0,0,2.6013,2.6013,0.0000,1.000,0,3.3000,0,-0.0067,-4.5449,1,1,1,1,0.320,1.648,2.394,0.282,"
"v20250113_wearDn33iot_Rapid,0,14.091000,1,1,2.6884,-1.7090,1.9531,4.7607,0.2125,-0.2081,0.9573,0.0400,0.0100,0,0,-9.051,0,-4.051,0,13.000,1.364,5.000,-7.949,177.489,0,0,0,2.6884,2.6884,0.0000,1.000,0,3.3000,0,0.0029,-0.3958,1,1,1,1,-0.280,2.310,2.433,0.887,"
"v20250113_wearDn33iot_Rapid,0,14.191000,1,1,2.6489,-2.4414,3.1128,8.3618,0.1982,-0.2136,0.9480,0.0400,0.0100,0,0,-8.591,0,-3.591,0,13.000,1.882,5.000,-8.409,178.248,0,0,0,2.6489,2.6489,0.0000,1.000,0,3.3000,0,-0.0083,1.9786,1,1,1,1,-1.546,2.371,3.834,0.204,"
"v20250113_wearDn33iot_Rapid,0,14.291000,1,1,2.6730,-1.2817,6.8970,5.9204,0.2509,-0.1738,0.9590,0.0400,0.0100,0,0,-9.768,0,-4.768,0,13.000,0.961,5.000,-7.232,178.385,0,0,0,2.6730,2.6730,0.0000,1.000,0,3.3000,0,-0.0080,5.2029,1,1,1,1,0.741,0.411,3.986,0.124,"
"v20250113_wearDn33iot_Rapid,0,14.391000,1,1,2.6924,1.5869,2.0752,3.2959,0.1943,-0.1583,0.9938,0.0400,0.0100,0,0,-11.332,0,-6.332,0,13.000,1.728,5.000,-5.668,178.360,0,0,0,2.6924,2.6924,0.0000,1.000,0,3.3000,0,0.0140,2.4105,1,1,1,1,5.905,0.222,2.612,0.269,"
"v20250113_wearDn33iot_Rapid,0,14.491000,1,1,2.6819,2.7466,-3.4180,2.9297,0.1656,-0.1677,0.9977,0.0400,0.0100,0,0,-11.987,0,-6.987,0,13.000,2.398,5.000,-5.013,178.620,0,0,0,2.6819,2.6819,0.0000,1.000,0,3.3000,0,0.0344,-1.3404,1,1,1,1,7.798,2.944,2.093,0.010,"
"v20250113_wearDn33iot_Rapid,0,14.591000,1,1,2.6610,3.7842,-0.7324,2.5024,0.2418,-0.1711,0.9470,0.0400,0.0100,0,0,-12.080,0,-7.080,0,13.000,0.551,5.000,-4.920,178.913,0,0,0,2.6610,2.6610,0.0000,1.000,0,3.3000,0,0.0165,-2.8572,1,1,1,1,6.110,-0.940,2.363,-0.081,"
"v20250113_wearDn33iot_Rapid,0,14.691000,1,1,2.6650,6.2866,-0.9766,-2.5024,0.2247,-0.2014,0.9587,0.0400,0.0100,0,0,-11.651,0,-6.651,0,13.000,0.101,5.000,-5.349,178.902,0,0,0,2.6650,2.6650,0.0000,1.000,0,3.3000,0,-0.0045,-2.0135,1,1,1,1,2.959,-4.861,1.938,-0.015,"
"v20250113_wearDn33iot_Rapid,0,14.791000,1,1,2.5232,4.5776,-5.3101,-2.5024,0.2083,-0.2167,0.9674,0.0400,0.0100,0,0,-10.840,0,-5.840,0,13.000,-0.015,5.000,-6.160,179.022,0,0,0,2.5232,2.5232,0.0000,1.000,0,3.3000,0,-0.0009,0.3969,1,1,1,1,-0.708,-4.007,1.410,-0.865,"
"v20250113_wearDn33iot_Rapid,0,14.891000,1,1,2.5046,9.3994,-1.2207,6.7139,0.2417,-0.1982,0.9540,0.0400,0.0100,0,0,-11.163,0,-6.163,0,13.000,-0.536,5.000,-5.837,179.807,0,0,0,2.5046,2.5046,0.0000,1.000,0,3.3000,0,-0.0007,4.7332,1,1,1,1,-1.204,-3.749,2.745,-0.479,"
"v20250113_wearDn33iot_Rapid,0,14.991000,1,1,2.4474,1.9531,-3.9673,-3.6621,0.2252,-0.2072,0.9731,0.0400,0.0100,0,0,-10.656,0,-5.656,0,13.000,-0.669,5.000,-6.344,179.676,0,0,0,2.4474,2.4474,0.0000,1.000,0,3.3000,0,0.0054,4.6277,1,1,1,1,-1.227,-3.498,2.804,-0.577,"
"v20250113_wearDn33iot_Rapid,0,15.091000,1,1,2.4748,3.9062,-2.5635,-2.1973,0.2247,-0.2571,0.9186,0.0400,0.0100,0,0,-8.716,0,-3.716,0,13.000,-0.829,5.000,-8.284,180.051,0,0,0,2.4748,2.4748,0.0000,1.000,0,3.3000,0,-0.0104,0.0012,1,1,1,1,-5.792,-2.702,2.263,-0.039,"
"v20250113_wearDn33iot_Rapid,0,15.191000,1,1,2.4579,0.6104,2.0752,-0.9766,0.2322,-0.2482,0.9381,0.0400,0.0100,0,0,-7.807,0,-2.807,0,13.000,-0.519,5.000,-9.193,180.125,0,0,0,2.4579,2.4579,0.0000,1.000,0,3.3000,0,-0.0285,-4.3709,1,1,1,1,-8.950,-1.267,2.206,-0.117,"
"v20250113_wearDn33iot_Rapid,0,15.291000,1,1,2.5352,-0.9766,0.1831,1.6479,0.2319,-0.2301,0.9554,0.0400,0.0100,0,0,-7.767,0,-2.767,0,13.000,-0.392,5.000,-9.233,180.247,0,0,0,2.5352,2.5352,0.0000,1.000,0,3.3000,0,-0.0139,-7.9595,1,1,1,1,-7.154,0.060,1.732,0.239,"
"v20250113_wearDn33iot_Rapid,0,15.391000,1,1,2.4603,-0.7324,-0.4272,-0.4272,0.2367,-0.2371,0.9348,0.0400,0.0100,0,0,-7.471,0,-2.471,0,13.000,-0.698,5.000,-9.529,180.255,0,0,0,2.4603,2.4603,0.0000,1.000,0,3.3000,0,-0.0102,-9.4430,1,1,1,1,-5.042,-0.386,1.288,-0.113,"
"v20250113_wearDn33iot_Rapid,0,15.491000,1,1,2.4780,-4.9438,1.8921,-0.8545,0.2142,-0.2438,0.9528,0.0400,0.0100,0,0,-6.867,0,-1.867,0,13.000,0.126,5.000,-10.133,180.135,0,0,0,2.4780,2.4780,0.0000,1.000,0,3.3000,0,-0.0073,-6.5522,1,1,1,1,-4.878,0.971,0.539,0.006,"
"v20250113_wearDn33iot_Rapid,0,15.591000,1,1,2.4877,-4.2725,3.5400,5.0049,0.2076,-0.1885,0.9666,0.0400,0.0100,0,0,-8.215,0,-3.215,0,13.000,1.035,5.000,-8.785,180.119,0,0,0,2.4877,2.4877,0.0000,1.000,0,3.3000,0,0.0027,-0.1233,1,1,1,1,-1.176,4.013,0.076,0.082,"
"v20250113_wearDn33iot_Rapid,0,15.691000,1,1,2.4893,1.4038,10.6201,4.6997,0.1693,-0.2054,0.8630,0.0400,0.0100,0,0,-8.329,0,-3.329,0,13.000,2.738,5.000,-8.671,180.316,0,0,0,2.4893,2.4893,0.0000,1.000,0,3.3000,0,-0.0641,6.9937,0,1,0,1,1.961,7.701,0.436,0.082,"
"v20250113_wearDn33iot_Rapid,0,15.791000,1,1,2.4812,-0.6714,7.0801,2.8687,0.2135,-0.1901,0.9192,0.0400,0.0100,0,0,-9.064,0,-4.064,0,13.000,2.169,5.000,-7.936,180.274,0,0,0,2.4812,2.4812,0.0000,1.000,0,3.3000,0,-0.1086,9.3057,0,1,0,1,2.962,6.531,0.531,-0.350,"
"v20250113_wearDn33iot_Rapid,0,15.891000,1,1,2.6972,-0.7935,9.4604,6.4697,0.1998,-0.2086,0.9545,0.0400,0.0100,0,0,-9.052,0,-4.052,0,13.000,2.818,5.000,-7.948,180.667,0,0,0,2.6972,2.6972,0.0000,1.000,0,3.3000,0,-0.0549,9.2636,0,1,1,1,3.097,4.318,1.084,1.388,"
"v20250113_wearDn33iot_Rapid,0,15.991000,1,1,2.6980,-5.5542,7.9956,-0.3662,0.2057,-0.1704,0.9772,0.0400,0.0100,0,0,-9.928,0,-4.928,0,13.000,2.750,5.000,-7.072,180.197,0,0,0,2.6980,2.6980,0.0000,1.000,0,3.3000,0,0.0077,9.2684,0,1,1,1,3.723,3.645,0.364,0.586,"
"v20250113_wearDn33iot_Rapid,0,16.091000,1,1,2.6755,-0.6714,11.3525,1.7090,0.1858,-0.1870,1.0149,0.0400,0.0100,0,0,-10.576,0,-5.576,0,13.000,3.848,5.000,-6.424,180.001,0,0,0,2.6755,2.6755,0.0000,1.000,0,3.3000,0,0.0718,8.0465,0,1,0,1,5.218,4.428,-1.044,-0.037,"
"v20250113_wearDn33iot_Rapid,0,16.191000,1,1,2.6158,-2.2583,6.7749,-3.2349,0.1702,-0.1765,0.9452,0.0400,0.0100,0,0,-10.743,0,-5.743,0,13.000,3.929,5.000,-6.257,179.488,0,0,0,2.6158,2.6158,0.0000,1.000,0,3.3000,0,0.0631,5.1457,0,1,0,1,4.690,4.838,-2.079,-0.335,"
"v20250113_wearDn33iot_Rapid,0,16.291000,1,1,2.4837,-9.2163,24.6582,-8.1787,0.1354,-0.1982,0.9478,0.0400,0.0100,0,0,-9.613,0,-4.613,0,13.000,6.664,5.000,-7.387,178.223,0,0,0,2.4837,2.4837,0.0000,1.000,0,3.3000,0,0.0088,14.3372,0,1,1,1,0.739,8.906,-4.882,-0.674,"
"v20250113_wearDn33iot_Rapid,0,16.391001,1,1,2.5699,-4.8828,-1.0986,-5.7373,-0.0023,-0.1669,1.0060,0.0400,0.0100,0,0,-7.342,0,-2.342,0,13.000,9.658,5.000,-6.420,177.555,0,0,0,2.5699,2.5699,0.0000,1.000,0,3.3000,0,0.0116,15.1322,0,1,1,1,0.471,16.717,-6.667,-0.057,"
"v20250113_wearDn33iot_Rapid,0,16.490999,1,1,2.5965,-5.1270,-0.6104,-2.7466,0.1130,-0.1436,0.9779,0.0400,0.0100,0,0,-9.080,0,-4.080,0,13.000,7.920,5.000,-5.431,177.202,0,0,0,2.5965,2.5965,0.0000,1.000,0,3.3000,0,0.0193,-0.0143,0,1,1,1,4.137,11.839,-6.001,0.271,"
"v20250113_wearDn33iot_Rapid,0,16.591000,1,1,2.6070,1.4648,-2.3804,0.8545,0.1082,-0.1348,1.0039,0.0400,0.0100,0,0,-9.853,0,-4.853,0,13.000,7.147,5.000,-3.923,177.201,0,0,0,2.6070,2.6070,0.0000,1.000,0,3.3000,0,0.0220,-9.7194,0,1,1,1,7.505,2.397,-4.278,0.144,"
"v20250113_wearDn33iot_Rapid,0,16.691000,1,1,2.3531,1.2817,-1.2207,-2.4414,0.0913,-0.1528,0.9851,0.0400,0.0100,0,0,-9.740,0,-4.740,0,13.000,7.260,5.000,-3.737,176.977,0,0,0,2.3531,2.3531,0.0000,1.000,0,3.3000,0,0.0230,-15.2684,1,1,1,1,7.668,0.300,-3.074,-1.748,"
"v20250113_wearDn33iot_Rapid,0,16.791000,1,1,2.2774,3.2959,-4.5166,1.9531,0.0831,-0.1392,1.0090,0.0400,0.0100,0,0,-9.649,0,-4.649,0,13.000,7.351,5.000,-2.999,177.199,0,0,0,2.2774,2.2774,0.0000,1.000,0,3.3000,0,0.0237,-13.3274,1,1,1,1,6.560,0.580,-1.796,-0.720,"
"v20250113_wearDn33iot_Rapid,0,16.891001,1,1,2.2113,4.0894,-8.3618,-2.5024,0.1322,-0.1404,0.9784,0.0400,0.0100,0,0,-11.543,0,-6.543,0,13.000,5.457,5.000,-2.667,177.072,0,0,0,2.2113,2.2113,0.0000,1.000,0,3.3000,0,0.0173,-6.7645,1,1,1,1,6.018,-3.520,-0.958,-0.705,"
"v20250113_wearDn33iot_Rapid,0,16.990999,1,1,2.2290,5.0659,-7.2021,-4.5166,0.1332,-0.1619,0.9940,0.0400,0.0100,0,0,-12.361,0,-7.361,0,13.000,4.639,5.000,-2.929,176.828,0,0,0,2.2290,2.2290,0.0000,1.000,0,3.3000,0,0.0090,-0.0191,1,1,1,1,3.691,-7.295,-1.331,-0.156,"
"v20250113_wearDn33iot_Rapid,0,17.091000,1,1,2.2693,5.9204,-8.1177,-0.1831,0.1597,-0.1587,0.9810,0.0400,0.0100,0,0,-13.607,0,-8.607,0,13.000,3.393,5.000,-3.020,177.022,0,0,0,2.2693,2.2693,0.0000,1.000,0,3.3000,0,0.0098,3.1105,1,1,1,1,1.572,-8.555,-0.834,0.232,"
"v20250113_wearDn33iot_Rapid,0,17.191000,1,1,2.2371,8.4839,-5.0659,-5.4932,0.2112,-0.1680,0.9655,0.0400,0.0100,0,0,-13.940,0,-8.940,0,13.000,1.455,5.000,-3.060,176.705,0,0,0,2.2371,2.2371,0.0000,1.000,0,3.3000,0,-0.0007,5.3993,1,1,1,1,0.704,-11.565,-0.832,-0.081,"
"v20250113_wearDn33iot_Rapid,0,17.291000,1,1,2.2363,-0.3052,2.0752,-8.1787,0.1615,-0.1996,0.9753,0.0400,0.0100,0,0,-12.223,0,-7.223,0,13.000,2.635,5.000,-4.777,176.202,0,0,0,2.2363,2.2363,0.0000,1.000,0,3.3000,0,-0.0025,4.3006,1,1,1,1,-3.304,-7.996,-2.149,0.012,"
