key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_filt,delta_roll,roll_filt,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet
v20250113_wearDn33iot_Rapid,0,4.291,0,1,2.4071,-0.1097,-0.1886,0.0277,-0.156,-0.0408,0.9861,0.04,0.01,0,0,4.307,1,9.307,1,13,21.307,5,2.769,1,1,0,2.4071,2.4071,0,1,0,3.3,1,0.0562,0.7286
v20250113_wearDn33iot_Rapid,0,4.391,0,1,2.4224,-0.18,-0.3281,0.0043,-0.1127,-0.0601,0.9988,0.04,0.01,0,0,3.313,1,8.313,1,13,20.313,5,2.119,1,1,0,2.4224,2.4224,0,1,0,3.3,1,-0.0112,1.9592
v20250113_wearDn33iot_Rapid,0,4.491,0,1,2.4345,-0.1193,-0.2322,0.0011,-0.0164,-0.1091,0.9851,0.04,0.01,0,0,0.034,1,5.034,1,13,17.034,5,0.325,1,1,0,2.4345,2.4345,0,1,0,3.3,1,-0.0928,1.9603
v20250113_wearDn33iot_Rapid,0,4.591,0,1,2.4385,-0.0298,-0.0746,-0.0064,-0.0101,-0.1194,0.9985,0.04,0.01,0,0,-1.819,0,3.181,1,13,15.181,5,-0.831,0,1,0,2.4385,2.4385,0,1,0,3.3,0,-0.0829,0.2621
v20250113_wearDn33iot_Rapid,0,4.691,0,1,2.4603,-0.033,-0.0682,-0.0565,0.0031,-0.1204,0.9879,0.04,0.01,0,0,-3.146,0,1.854,1,13,13.854,5,-1.484,0,1,0,2.4603,2.4603,0,1,0,3.3,0,-0.0709,-0.7644
v20250113_wearDn33iot_Rapid,0,4.792,0,1,2.449,-0.0714,-0.1055,-0.0043,-0.0177,-0.0854,1.0001,0.04,0.01,0,0,-3.22,0,1.78,1,13,13.78,5,-0.76,0,1,0,2.449,2.449,0,1,0,3.3,0,-0.0537,-0.7788
v20250113_wearDn33iot_Rapid,0,4.892,0,1,2.5352,-0.0916,-0.1225,-0.0181,-0.002,-0.1083,0.9806,0.04,0.01,0,0,-3.713,0,1.287,1,13,13.287,5,-1.121,0,1,0,2.5352,2.5352,0,1,0,3.3,0,-0.0923,-0.4375
v20250113_wearDn33iot_Rapid,0,4.992,0,1,2.4949,-0.0426,-0.0096,0.033,-0.0017,-0.11,0.9908,0.04,0.01,0,0,-3.957,0,1.043,1,13,13.043,5,-1.315,0,1,0,2.4949,2.4949,0,1,0,3.3,0,-0.1027,-0.7287
v20250113_wearDn33iot_Rapid,0,5.092,0,1,2.4635,-0.0426,-0.0117,0.0053,-0.0068,-0.1128,1.0095,0.04,0.01,0,0,-3.933,0,1.067,1,13,13.067,5,-1.434,0,1,0,2.4635,2.4635,0,1,0,3.3,0,0.0608,-1.0823
v20250113_wearDn33iot_Rapid,0,5.192,0,1,2.4917,-0.0352,-0.0341,-0.0085,0.0125,-0.1354,0.9841,0.04,0.01,0,0,-4.483,0,0.517,1,13,12.517,5,-2.234,0,1,0,2.4917,2.4917,0,1,0,3.3,0,0.0325,-0.9948
