time_s,eye_voltage,eye_voltage_thr,eye_cl,conf,max_nod_f,max_nod_p,buzz,
324.976990,1.3095,0.000,0,0,-14.299,-9.299,0,
325.076996,1.2886,0.000,0,0,-14.279,-9.279,0,
325.178009,1.2902,0.000,0,0,-14.383,-9.383,0,
325.278992,1.2950,0.000,0,0,-14.563,-9.563,0,
325.380005,1.2918,0.000,0,0,-14.291,-9.291,0,
325.480011,1.2942,0.000,0,0,-13.887,-8.887,0,
325.580994,1.2942,0.000,0,0,-14.081,-9.081,0,
325.682007,1.2942,0.000,0,0,-14.231,-9.231,0,
325.782013,1.2821,0.000,0,0,-14.133,-9.133,0,
325.882996,1.2942,0.000,0,0,-14.054,-9.054,0,
325.983002,1.2894,0.000,0,0,-14.179,-9.179,0,
326.084015,1.2918,0.000,0,0,-14.132,-9.132,0,
326.184998,1.2813,0.000,0,0,-13.952,-8.952,0,
326.286011,1.2926,0.000,0,0,-13.967,-8.967,0,
326.385986,1.2918,0.000,0,0,-14.016,-9.016,0,
326.485992,1.2902,0.000,0,0,-14.028,-9.028,0,
326.587006,1.2765,0.000,0,0,-13.944,-8.944,0,
326.687988,1.3144,0.000,0,0,-14.030,-9.030,0,
326.787994,1.2878,0.000,0,0,-13.881,-8.881,0,
326.888000,1.2853,0.000,0,0,-13.908,-8.908,0,
326.989014,1.2886,0.000,0,0,-14.090,-9.090,0,
327.089996,1.2886,0.000,0,0,-13.954,-8.954,0,
327.190002,1.2902,0.000,0,0,-14.030,-9.030,0,
327.290985,1.2926,0.000,0,0,-14.238,-9.238,0,
327.390991,1.2789,0.000,0,0,-14.179,-9.179,0,
327.490997,1.2902,0.000,0,0,-14.129,-9.129,0,
327.592010,1.2870,0.000,0,0,-14.099,-9.099,0,
327.692993,1.2886,0.000,0,0,-14.085,-9.085,0,
327.794006,1.2918,0.000,0,0,-14.005,-9.005,0,
327.894989,1.2821,0.000,0,0,-14.239,-9.239,0,
327.994995,1.2837,0.000,0,0,-14.047,-9.047,0,
328.095001,1.2845,0.000,0,0,-13.852,-8.852,0,
328.196014,1.3224,0.000,0,0,-13.935,-8.935,0,
328.295990,1.3426,0.000,0,0,-13.957,-8.957,0,
328.395996,1.3555,0.000,0,0,-13.938,-8.938,0,
328.496002,1.3522,0.000,0,0,-14.019,-9.019,0,
328.596008,1.3547,0.000,0,0,-14.098,-9.098,0,
328.696014,1.3522,0.000,0,0,-14.127,-9.127,0,
328.795990,1.3498,0.000,0,0,-14.030,-9.030,0,
328.895996,1.3595,0.000,0,0,-14.022,-9.022,0,
328.997009,1.3538,0.000,0,0,-14.135,-9.135,0,
329.096985,1.3506,0.000,0,0,-13.901,-8.901,0,
329.197998,1.3651,0.000,0,0,-13.858,-8.858,0,
329.299011,1.3458,0.000,0,0,-13.901,-8.901,0,
329.399994,1.2990,0.000,0,0,-13.947,-8.947,0,
329.501007,1.3039,0.000,0,0,-14.040,-9.040,0,
329.601013,1.3079,0.000,0,0,-14.132,-9.132,0,
329.700989,1.3055,0.000,0,0,-14.167,-9.167,0,
329.802002,1.3047,0.000,0,0,-14.135,-9.135,0,
329.903015,1.2942,0.000,0,0,-14.066,-9.066,0,
330.003998,1.2990,0.000,0,0,-14.013,-9.013,0,
330.105011,1.2902,0.000,0,0,-14.247,-9.247,0,
330.205994,1.2942,0.000,0,0,-14.326,-9.326,0,
330.307007,1.3224,0.000,0,0,-14.085,-9.085,0,
330.407990,1.3321,0.000,0,0,-14.024,-9.024,0,
330.507996,1.3506,0.000,0,0,-13.956,-8.956,0,
330.608002,1.3184,0.000,0,0,-13.909,-8.909,0,
330.709015,1.3289,0.000,0,0,-13.928,-8.928,0,
330.808990,1.3321,0.000,0,0,-13.843,-8.843,0,
330.908997,1.2918,0.000,0,0,-13.739,-8.739,0,
331.009003,1.3007,0.000,0,0,-13.632,-8.632,0,
331.109009,1.3393,0.000,0,0,-13.608,-8.608,0,
331.209015,1.3023,0.000,0,0,-13.586,-8.586,0,
331.308990,1.2870,0.000,0,0,-13.673,-8.673,0,
331.410004,1.2837,0.000,0,0,-13.724,-8.724,0,
331.510986,1.2789,0.000,0,0,-13.648,-8.648,0,
331.610992,1.2870,0.000,0,0,-13.778,-8.778,0,
331.712006,1.2853,0.000,0,0,-13.699,-8.699,0,
331.812012,1.3087,0.000,0,0,-13.717,-8.717,0,
331.911987,1.3595,0.000,0,0,-13.764,-8.764,0,
332.013000,1.2829,0.000,0,0,-13.766,-8.766,0,
332.113007,1.2805,0.000,0,0,-13.930,-8.930,0,
332.213989,1.3281,0.000,0,0,-13.862,-8.862,0,
332.315002,1.3152,0.000,0,0,-13.812,-8.812,0,
332.415985,1.3361,0.000,0,0,-13.785,-8.785,0,
332.515991,1.3256,0.000,0,0,-13.759,-8.759,0,
332.615997,1.3224,0.000,0,0,-13.750,-8.750,0,
332.717010,1.3232,0.000,0,0,-13.714,-8.714,0,
332.816986,1.3232,0.000,0,0,-13.787,-8.787,0,
332.917999,1.3248,0.000,0,0,-13.743,-8.743,0,
333.018005,1.3869,0.000,0,0,-13.826,-8.826,0,
333.118988,1.3256,0.000,0,0,-13.722,-8.722,0,
333.218994,1.3248,0.000,0,0,-13.729,-8.729,0,
333.319000,1.3248,0.000,0,0,-13.717,-8.717,0,
333.420013,1.3635,0.000,0,0,-13.754,-8.754,0,
333.519989,1.3321,0.000,0,0,-13.828,-8.828,0,
333.619995,1.3297,0.000,0,0,-13.686,-8.686,0,
333.721008,1.3200,0.000,0,0,-13.623,-8.623,0,
333.821991,1.3256,0.000,0,0,-13.658,-8.658,0,
333.923004,1.4352,0.000,0,0,-13.589,-8.589,0,
334.023987,1.3200,0.000,0,0,-13.666,-8.666,0,
334.123993,1.3232,0.000,0,0,-13.599,-8.599,0,
334.225006,1.3482,0.000,0,0,-13.585,-8.585,0,
334.325989,1.3079,0.000,0,0,-13.409,-8.409,0,
334.425995,1.3160,0.000,0,0,-13.324,-8.324,0,
334.527008,1.3095,0.000,0,0,-13.376,-8.376,0,
334.627991,1.3176,0.000,0,0,-13.273,-8.273,0,
334.727997,1.3152,0.000,0,0,-13.329,-8.329,0,
334.828003,1.3216,0.000,0,0,-13.417,-8.417,0,
334.928009,1.3039,0.000,0,0,-13.315,-8.315,0,
335.028992,1.3144,0.000,0,0,-13.329,-8.329,0,
335.128998,1.3152,0.000,0,0,-13.259,-8.259,0,
335.230011,1.3055,0.000,0,0,-13.413,-8.413,0,
335.329987,1.3192,0.000,0,0,-13.513,-8.513,0,
