key_Rapid,cTime,eye_voltage_norm,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_p,head_buzz,eye_buzz,lt_state,st_state,dltst,freeze
v20250113_pro0n33iot_Rapid,73.361,1.1451,0,,0,0,35.781,40.781,1,,,,,
v20250113_pro0n33iot_Rapid,73.460999,1.1629,0,,0,0,36.657,41.657,1,,,,,
v20250113_pro0n33iot_Rapid,73.561996,1.1492,0,,0,0,36.879,41.879,1,,,,,
v20250113_pro0n33iot_Rapid,73.662003,1.1653,0,,0,0,37.004,42.004,1,,,,,
v20250113_pro0n33iot_Rapid,73.763,1.3377,0,,0,0,30.692,35.692,1,,,,,
v20250113_pro0n33iot_Rapid,73.863998,1.3748,0,,0,0,13.437,18.437,1,,,,,
v20250113_pro0n33iot_Rapid,73.963997,1.3885,0,,0,0,1.405,6.405,1,,,,,
v20250113_pro0n33iot_Rapid,74.065002,1.3925,0,,0,0,-4.902,0.098,1,,,,,
,tone stopped,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,74.166,1.3933,0,,0,0,-8.519,-3.519,0,,,,,
v20250113_pro0n33iot_Rapid,74.266998,1.3909,0,,0,0,-10.711,-5.711,0,,,,,
v20250113_pro0n33iot_Rapid,74.367996,1.3885,0,,0,0,-11.48,-6.48,0,,,,,
v20250113_pro0n33iot_Rapid,74.469002,1.3788,0,,0,0,-12.188,-7.188,0,,,,,
v20250113_pro0n33iot_Rapid,74.57,1.4062,0,,0,0,-12.781,-7.781,0,,,,,
v20250113_pro0n33iot_Rapid,74.669998,1.4014,0,,0,0,-13.563,-8.563,0,,,,,
v20250113_pro0n33iot_Rapid,74.769997,1.5021,0,,0,0,-13.549,-8.549,0,,,,,
v20250113_pro0n33iot_Rapid,74.871002,1.3853,0,,0,0,-13.744,-8.744,0,,,,,
v20250113_pro0n33iot_Rapid,74.972,1.3885,0,,0,0,-13.438,-8.438,0,,,,,
v20250113_pro0n33iot_Rapid,75.071999,1.3885,0,,0,0,-13.338,-8.338,0,,,,,
v20250113_pro0n33iot_Rapid,75.172997,1.3982,0,,0,0,-13.454,-8.454,0,,,,,
v20250113_pro0n33iot_Rapid,75.273003,1.3829,0,,0,0,-13.076,-8.076,0,,,,,
v20250113_pro0n33iot_Rapid,75.374001,1.3764,0,,0,0,-7.155,-2.155,0,,,,,
v20250113_pro0n33iot_Rapid,75.473999,1.2144,0,,0,0,12.257,17.257,1,,,,,
,grav tone played,,,,,,,,,,,,,
v20250113_pro0n33iot_Rapid,75.574997,1.2305,0,,0,0,26.831,31.831,1,,,,,
v20250113_pro0n33iot_Rapid,75.675003,1.2193,0,,0,0,35.529,40.529,1,,,,,
v20250113_pro0n33iot_Rapid,75.776001,1.2144,0,,0,0,41.418,46.418,1,,,,,
v20250113_pro0n33iot_Rapid,75.876999,1.1854,0,,0,0,44.934,49.934,1,,,,,
v20250113_pro0n33iot_Rapid,75.977997,1.1999,0,,0,0,47.307,52.307,1,,,,,
